product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
COX CK87 PBT SUNSHINE GD 기계식,COX,35600,https://img.danuri.io/catalog-image/657/438/020/daba687796ae461c85c8db26e686c89e.jpg?shrink=130:130&_v=20260610124840,기계식,유선,텐키리스,55g,980,유선,한/영 정각,단색 백라이트,갈축,,게이트론,20438657,https://example.com/media,https://prod.danawa.com/info/?pcode=20438657&cate=112782,True
COX CK87 PBT SUNSHINE GD 기계식,COX,35900,https://img.danuri.io/catalog-image/657/438/020/daba687796ae461c85c8db26e686c89e.jpg?shrink=130:130&_v=20260610124840,기계식,유선,텐키리스,55g,980,유선,한/영 정각,단색 백라이트,황축,,게이트론,20438609,https://example.com/media,https://prod.danawa.com/info/?pcode=20438609&cate=112782,True
앱코 K640T SLIM 축교환 무빙LED 텐키리스 기계식 블랙,앱코,69800,https://img.danuri.io/catalog-image/517/363/013/7ed923721e5c4fc8b221bc89fb880849.jpg?shrink=130:130&_v=20260610124740,기계식,유선,텐키리스,45g,572,유선,정보없음,레인보우 백라이트,적축,,GTMX,13363517,https://example.com/media,https://prod.danawa.com/info/?pcode=13363517&cate=112782,True
앱코 K640T SLIM 축교환 무빙LED 텐키리스 기계식 블랙,앱코,69800,https://img.danuri.io/catalog-image/517/363/013/7ed923721e5c4fc8b221bc89fb880849.jpg?shrink=130:130&_v=20260610124740,기계식,유선,텐키리스,45g,572,유선,정보없음,레인보우 백라이트,청축,,GTMX,13363487,https://example.com/media,https://prod.danawa.com/info/?pcode=13363487&cate=112782,True
COX 엠프리스 RGB PBT 완전방수 무접점 블랙,COX,119000,https://img.danuri.io/catalog-image/877/342/008/b797533d47014322993e5d12a47ae389.jpg?shrink=130:130&_v=20260610124736,무접점,유선,풀배열,35g,1300,유선,한/영 정각,RGB 백라이트,,,NIZ EC,8342877,https://example.com/media,https://prod.danawa.com/info/?pcode=8342877&cate=112782,True
앱코 AK108 3모드 OTEMU 특주축 유무선 기계식 그레이,앱코,69000,https://img.danuri.io/catalog-image/446/015/093/2e1f2b855a21429e996de4e5d1f63f71.jpg?shrink=130:130&_v=20260610124713,기계식,유선+무선,풀배열,40g,1117,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,멜론축,,,93015446,https://example.com/media,https://prod.danawa.com/info/?pcode=93015446&cate=112782,True
앱코 AK108 3모드 OTEMU 특주축 유무선 기계식 그레이,앱코,81900,https://img.danuri.io/catalog-image/446/015/093/2e1f2b855a21429e996de4e5d1f63f71.jpg?shrink=130:130&_v=20260610124713,기계식,유선+무선,풀배열,40g,1117,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,거북이 등껍질축,,,93015494,https://example.com/media,https://prod.danawa.com/info/?pcode=93015494&cate=112782,True
앱코 AK108 3모드 OTEMU 특주축 유무선 기계식 그레이,앱코,108890,https://img.danuri.io/catalog-image/446/015/093/2e1f2b855a21429e996de4e5d1f63f71.jpg?shrink=130:130&_v=20260610124713,기계식,유선+무선,풀배열,40g,1117,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,피치축,,,93015488,https://example.com/media,https://prod.danawa.com/info/?pcode=93015488&cate=112782,True
앱코 KP10 키패드,앱코,7500,https://img.danuri.io/catalog-image/461/925/009/22d7e855590347d6a9150550d73026eb.jpg?shrink=130:130&_v=20260610124800,멤브레인,유선,19키,0g,118,유선,정보없음,없음,,,,9925461,https://example.com/media,https://prod.danawa.com/info/?pcode=9925461&cate=112782,True
앱코 AN04F PBT 특주축 게이밍 기계식 키보드,앱코,29900,https://img.danuri.io/catalog-image/124/091/018/648b0c010e7c4efb8e089a63faa05b8b.jpg?shrink=130:130&_v=20260610124739,기계식,유선,풀배열,60g,812,유선,한/영 정각,없음,,,Finekey,18091124,https://example.com/media,https://prod.danawa.com/info/?pcode=18091124&cate=112782,True
